Rank,Name,Park,Location,Supplier,Year Built,Points,Year of Rank,City,State,Country,Zip_Code
23,X2,Six Flags Magic Mountain,"Valencia, Calif.",Arrow,2002,202,2016,Valencia,California,United States,91355
24,Behemoth,Canada’s Wonderland,"Vaughan, Ontario, Canada",B&M,2008,198,2016,Vaughan,Ontario,Canada,L6A 1S6
25,Black Mamba,Phantasialand,"Brühl, Germany",B&M,2006,178,2016,Brühl,North Rhine-Westphalia,Germany,50321
26,Twisted Colossus,Six Flags Magic Mountain,"Valencia, Calif.",RMC,2015,175,2016,Valencia,California,United States,91355
27,Mind Bender,Six Flags Over Georgia,"Austell, Ga.",Schwarzkopf,1978,168,2016,Austell,Georgia,United States,30168
28,Storm Chaser,Kentucky Kingdom,"Louisville, Ky.",RMC,2016,166,2016,Louisville,Kentucky,United States,40209
29,Helix,Liseberg,"Gothenburg, Sweden",Mack,2014,165,2016,Gothenburg,Västra Götalands,Sweden,402 22
30,Alpengeist,Busch Gardens Williamsburg,"Williamsburg, Va.",B&M,1997,144,2016,Williamsburg,Virginia,United States,23185
31,Goliath,La Ronde,"Montreal, Quebec, Canada",B&M,2006,128,2016,Montreal,Quebec,Canada,H3C6A3
32,Raging Bull,Six Flags Great America,"Gurnee, Ill.",B&M,1999,122,2016,Gurnee,Illinois,United States,60031
32,Taron,Phantasialand,"Brühl, Germany",Intamin,2016,122,2016,Brühl,North Rhine-Westphalia,Germany,50321
34,Thunderbird,Holiday World,"Santa Claus, Ind.",B&M,2015,113,2016,Santa Claus,Indiana,United States,47579
35,Mako,SeaWorld Orlando,"Orlando, Fla.",B&M,2016,110,2016,Orlando,Florida,United States,32821
36,Wild Eagle,Dollywood,"Pigeon Forge, Tenn.",B&M,2012,107,2016,Pigeon Forge,Tennessee,United States,37863
37,Steel Force,Dorney Park,"Allentown, Pa.",Morgan,1997,105,2016,Allentown,Pennsylvania,United States,18104
38,Lisebergbanan,Liseberg,"Gothenburg, Sweden",Schwarz,1987,99,2016,Gothenburg,Västra Götalands,Sweden,402 22
39,Cheetah Hunt,Busch Gardens Tampa,"Tampa, Fla.",Intamin,2011,97,2016,Tampa,Florida,United States,33612
42,Euro-Mir,Europa-Park,"Rust, Germany",Mack,1997,94,2016,Rust,Baden-Württemberg,Germany,77977
42,Medusa Steel Coaster,Six Flags Mexico,"Mexico City, Mexico",RMC,2014,94,2016,Mexico City,Distrito Federal,Mexico,14200
42,Cannibal,Lagoon,"Farmington, Utah",Lagoon,2015,92,2016,Farmington,Utah,United States,84025
42,Kumba,Busch Gardens Tampa,"Tampa, Fla.",B&M,1993,92,2016,Tampa,Florida,United States,33612
44,Lightning Run,Kentucky Kingdom,"Louisville, Ky.",Chance,2014,90,2016,Louisville,Kentucky,United States,40209
45,Whizzer,Six Flags Great America,"Gurnee, Ill.",Schwarzkopf,1976,85,2016,Gurnee,Illinois,United States,60031
46,Olympia Looping,Weiner Prater,"Vienna, Austria",Schwarzkopf,1989,81,2016,Vienna,Vienna,Austria,1020
47,Raptor,Cedar Point,"Sandusky, Ohio",B&M,1994,80,2016,Sandusky,Ohio,United States,44870
48,Bizarro,Six Flags Great Adventure,"Jackson, N.J.",B&M,1999,74,2016,Jackson,New Jersey,United States,08527
49,Expedition Everest,Disney’s Animal Kingdom,"Orlando, Fla.",Vekoma,2006,72,2016,Lake Buena Vista,Florida,United States,32830
49,GateKeeper,Cedar Point,"Sandusky, Ohio",B&M,2013,72,2016,Sandusky,Ohio,United States,44870
1,Fury 325,Carowinds,"Charlotte, N.C.",B&M,2015,1354,2017,Charlotte,North Carolina,United States,28273
2,Millennium Force,Cedar Point,"Sandusky, Ohio",Intamin,2000,1129,2017,Sandusky,Ohio,United States,44870
3,Superman The Ride,Six Flags New England,"Agawam, Mass.",Intamin,2000,705,2017,Agawam,Massachusetts,United States,01001
4,Iron Rattler,Six Flags Fiesta Texas,"San Antonio, Texas",RMC,2013,657,2017,San Antonio,Texas,United States,78257
5,Expedition GeForce,Holiday Park,"Hassloch, Germany",Intamin,2001,575,2017,Hassloch,Rhineland-Palatinate,Germany,67454
6,Leviathan,Canada’s Wonderland,"Vaughan, Ontario, Canada",B&M,2012,481,2017,Vaughan,Ontario,Canada,L6A 1S6
7,Nitro,Six Flags Great Adventure,"Jackson, N.J.",B&M,2001,442,2017,Jackson,New Jersey,United States,08527
8,Diamondback,Kings Island,"Mason, Ohio",B&M,2009,381,2017,Mason,Ohio,United States,45040
